Undergraduate Major,Starting Median Salary,Mid-Career Median Salary
Chemical Engineering,"$63,200.00","$107,000.00"
Computer Engineering,"$61,400.00","$105,000.00"
Electrical Engineering,"$60,900.00","$103,000.00"
Aerospace Engineering,"$57,700.00","$101,000.00"
Economics,"$50,100.00","$98,600.00"
